code,local_name,series,set_id,prior_coverage,selection_reason,local_type,local_setcode,local_text_digest,segment_keys,official_cid,source_url,outcome,review_note
2311090,卫星闪灵·萝卜精灵,卫星闪灵,set:180,none,完整系列；2星展开与快速效果场景,33,384,8ea8687988b0337e9c31a6cb9f0ab49734a8b18d253310bd840a38e6b342df99,"m-pre,m1,m2",17409,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17409&ope=4&request_locale=ja,reviewed-added,①己方有2星或连接2时手卡不入连锁自特召；②解放其他2星／2阶／连接2费用无效对方魔陷效果，解放2阶或连接2可再破坏。
13533678,卫星闪灵·喷流灵,卫星闪灵,set:180,none,完整系列；2星展开与快速效果场景,33,384,0b11cac3ce79c81722732e8869cc1e16f10f4aa8186ff735ca113d6f8757d7d5,"m-pre,m1,m2",17406,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17406&ope=4&request_locale=ja,reviewed-added,①己方有2星或2阶时手卡不入连锁自特召；②特召后检索系列魔陷。
15443125,卫星闪灵启辉器,卫星闪灵,set:180,none,完整系列；2星展开与快速效果场景,65538,384,cfce8d17b78bbbe7918337bb1a27384bb35a4b4fa992c05fc4be4320ff723764,"m-pre,m1",17457,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17457&ope=4&request_locale=ja,reviewed-added,速攻从卡组特召系列怪兽并同时自己失去其原攻击力LP；处理后施加不回溯的2星／2阶／连接2特召自锁。
27381364,卫星闪灵·淘气精灵,卫星闪灵,set:180,none,完整系列；2星展开与快速效果场景,67108897,384,5fd3abe36f04d5563952e8acb5e0d836ddbecaf00968b9df5f5c0e5a0f5376c5,"m-pre,m1,m2",17451,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17451&ope=4&request_locale=ja,reviewed-added,连接区怪兽不受对方取对象；双方主要阶段复活墓地2星，若对方场上有怪兽可选2阶／连接2。
42431833,卫星闪灵伽马暴,卫星闪灵,set:180,none,完整系列；2星展开与快速效果场景,65538,384,22ee34aa3f3464a5de11f1fbcb499192aec3de9b719c90af84f37c1f78a05565,"m-pre,m1,m2",17458,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17458&ope=4&request_locale=ja,reviewed-added,①双方符合条件怪兽攻守本回合+1400；②自己主要阶段墓地自除外费用给己方对象攻击力+1400至对方回合结束。
49928686,卫星闪灵·皮克精队,卫星闪灵,set:180,none,完整系列；2星展开与快速效果场景,33,384,855f1a5da45fe608bb8afa569169707e5d0525ea287ef83ac698d775b9f435ac,"m-pre,m1,m2",17407,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17407&ope=4&request_locale=ja,reviewed-added,①己方有2星或2阶时不入连锁手特召；②伤害计算时自身送墓费用使其他己方符合条件怪兽攻守增加对方攻击力。
54498517,巨大喷流卫星闪灵,卫星闪灵,set:180,none,完整系列；2星展开与快速效果场景,8388641,384,5fb6568297736b6b29953add38b7c4afd5bd32645af57968f3cccacc8feaaab6,"m-pre,m1,m2",17449,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17449&ope=4&request_locale=ja,reviewed-added,①特定额外素材使原攻击力翻倍；②处理时取除己方任一超量素材并同时卡组特召2星，随后双方受2星／2阶／连接2特召锁。
68250822,卫星闪灵双人交叉金臂勾,卫星闪灵,set:180,none,完整系列；2星展开与快速效果场景,4,384,28547fe2fcd5dc59d6fb418543d4097d900654f61d65c98614d8e126fd05ac95,"m-pre,m1",17829,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17829&ope=4&request_locale=ja,reviewed-added,取双方场／墓怪兽对象，三选一：叠己方2阶素材、移对方怪兽至己方连接区取得控制权、或墓地怪兽特召至连接区。
72329844,卫星闪灵迅妖龙炮,卫星闪灵,set:180,none,完整系列；2星展开与快速效果场景,67108897,384,b95552224eaa525f1a8729f3bcf9ee26d020cbe575b02f1e96ebc7968cc46121,"m-pre,m1,m2",17803,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17803&ope=4&request_locale=ja,reviewed-added,①连接召唤后卡组送2星怪兽墓地；②任意怪兽特召时取除超量素材费用，对象场上怪兽回手。
75922381,卫星闪灵·红色精灵,卫星闪灵,set:180,none,完整系列；2星展开与快速效果场景,33,384,71dcde880ccde3ef6722adfe176eb4cf1525a9f4c406f89dce2facb123217fe3,"m-pre,m1,m2",17408,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17408&ope=4&request_locale=ja,reviewed-added,①己方有2星或连接2时不入连锁手特召；②解放其他符合怪兽费用无效对方怪兽效果，解放2阶或连接2时可再破坏那只怪兽。
76145933,卫星闪灵·蓝色喷流灵,卫星闪灵,set:180,none,完整系列；2星展开与快速效果场景,33,384,daca79bbf0596f43691078669720e0fe503fcb2d24f3195f08245bd1d3c5ca75,"m-pre,m1,m2",17405,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17405&ope=4&request_locale=ja,reviewed-added,①己方有2星或2阶时不入连锁手特召；②特召后检索非同名卫星闪灵怪兽。
88836438,卫星闪灵粉碎者群集,卫星闪灵,set:180,none,完整系列；2星展开与快速效果场景,65538,384,288b93c10f60418be593b6e5411db8827d4f358023ca4911cfaa1b03ba7e9110,"m-pre,m1",17459,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17459&ope=4&request_locale=ja,reviewed-added,手卡／墓地除外三个系列之一作费用，互斥地卡组特召护宝炮妖、墓地特召兽带斗神或除外己方2星／2阶／连接2及对方场上卡。
7889323,铁兽的死线,铁兽,set:14d,none,完整系列；墓地素材、连接召唤与兽族构筑场景,131074,333,5431d4673dd3f292c190b2d6960c23088b61d0f37ed658e29c4bf5f949da07a2,"m-pre,m1,m2",17810,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=17810&ope=4&request_locale=ja,reviewed-added,①己方指定种族特召后回收除外铁兽；②系列怪兽战斗伤害计算后使未被战斗破坏的对方怪兽回手。
