code,local_name,series,set_id,prior_coverage,selection_reason,local_type,local_setcode,local_text_digest,segment_keys,official_cid,source_url,outcome,review_note
13408726,炼机圣之影灵衣,影灵衣,set:b4,none,现有万华镜标注与仪式展开场景；补齐完整系列,16777377,180,8b0b343fd78fe3fcbf1d6bd2b585e62012ea797955f59dcf1641010b11e14c96,"p-pre,p1,m-pre,m1,m2",20937,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=20937&ope=4&request_locale=ja,reviewed-added,灵摆 p1 与怪兽 m1/m2 分区；召唤手续非效果，怪兽①暂时自除外与对象除外同时处理。
14735698,影灵衣的降魔镜,影灵衣,set:b4,none,现有万华镜标注与仪式展开场景；补齐完整系列,130,180,6e13b93e7e51470450ff9635e218bb7fe0c6a711db3cb9ac0858c58bdedc6f8b,"m-pre,m1,m2",11490,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=11490&ope=4&request_locale=ja,reviewed-added,①结算时混用解放与墓地除外素材，随后仪式召唤；②墓地两卡除外费用后检索。
20773176,炎兽之影灵衣-神数艾可萨龙,影灵衣,set:b4,none,现有万华镜标注与仪式展开场景；补齐完整系列,16777249,11796676,ef9ccd5e8cab46e5560a922cde3c24660503c2fe5f64e83a49d7f152472d7efe,"p1,m-pre,m1",11702,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=11702&ope=4&request_locale=ja,reviewed-added,灵摆区仅锁灵摆召唤系列；怪兽区之外的①在其他系列卡被破坏后自特召。
21105106,索菲娅之影灵衣,影灵衣,set:b4,none,现有万华镜标注与仪式展开场景；补齐完整系列,161,180,601ac9511197b9f6e3dc673fe8cad64d8bb54dfd75d64d3f3f9c570279350622,"m-pre,m1,m2",11713,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=11713&ope=4&request_locale=ja,reviewed-added,手卡①两张丢弃费用锁对方当前主要阶段1；仪式召唤②整回合己方召唤自锁并除外双方其他场上／墓地卡。
25857246,瓦尔基鲁斯之影灵衣,影灵衣,set:b4,none,现有万华镜标注与仪式展开场景；补齐完整系列,161,180,ab609806352f981d2e67f77f5561c8777d3d82680dd9b2cc1210c85c09deb2cb,"m-pre,m1,m2",11487,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=11487&ope=4&request_locale=ja,reviewed-added,①费用双重支付后先无效攻击再结束战斗阶段；②结算时解放怪兽并抽等量，不误记为解放费用。
26674724,光枪龙之影灵衣,影灵衣,set:b4,none,现有万华镜标注与仪式展开场景；补齐完整系列,161,180,8f372496e2870231a9049dcbf2dae0185ce76d4da9506d1c130917d7de371c40,"m-pre,m1,m2",11484,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=11484&ope=4&request_locale=ja,reviewed-added,①手卡丢弃费用检索；②对象双方1至2只额外来源怪兽回持有者卡组／额外。
27796375,影灵衣大魔道士,影灵衣,set:b4,none,现有万华镜标注与仪式展开场景；补齐完整系列,33,180,5ba78c94b3604b93eb4c16d21ac400373a9d70da5944587bd8ed57a234b99d0e,"m-pre,m1,m2",11481,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=11481&ope=4&request_locale=ja,reviewed-added,效果解放与表侧除外两种触发互斥；①检索仪式怪兽，②卡组送墓非同名怪兽。
39468724,毒枪龙骑士之影灵衣,影灵衣,set:b4,none,现有万华镜标注与仪式展开场景；补齐完整系列,161,180,c2cb6440f3d31a076a98f2adcbb1a1e158ae2493822b57d73369db3af4bef281,"m-pre,m1,m2",15851,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=15851&ope=4&request_locale=ja,reviewed-added,①丢弃费用后结算时解放再卡组送墓；②响应怪兽效果，以解放费用无效发动并除外。
50596425,影灵衣的神魔镜,影灵衣,set:b4,none,现有万华镜标注与仪式展开场景；补齐完整系列,65538,180,ef8d6c1de3659cea2a5fd166fd63b1f63ee8077a7784506c6fe4c961ba23d0f6,"m-pre,m1,m2",20938,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=20938&ope=4&request_locale=ja,reviewed-added,①速攻仪式魔法可混合解放与额外卡组送墓素材，随后从手卡／表侧除外区仪式召唤；②墓地除外费用检索。
51124303,影灵衣的万华镜,影灵衣,set:b4,reviewed,现有万华镜标注与仪式展开场景；补齐完整系列,130,180,9678558b2a44d4bd947bc9e230e07a4eb97f1ca8be5060e2476ba05634bdb9bf,"m-pre,m1,m2",11491,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=11491&ope=4&request_locale=ja,skip-existing-reviewed,旧条目卡文指纹、分段、类别及官方OCG卡页/FAQ仍一致；保留原条目
51618973,影灵衣魔剑士 阿旺斯,影灵衣,set:b4,none,现有万华镜标注与仪式展开场景；补齐完整系列,33,180,d0c7c2a1ae940fe4c2b1a61f117e1048bba5a6319e72c38b612f1d66672ec6b7,"m-pre,m1,m2,m3",20935,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=20935&ope=4&request_locale=ja,reviewed-added,①召唤时特召非仪式怪兽；②非连锁单卡仪式素材规则；③效果解放后每决斗一次回收不同名除外卡。
52068432,三叉龙之影灵衣,影灵衣,set:b4,none,现有万华镜标注与仪式展开场景；补齐完整系列,161,180,7fe76e979592318083fd06dfccb258b4eafa493d9d2e413456bc4930e13d47f8,"m-pre,m1,m2",11485,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=11485&ope=4&request_locale=ja,reviewed-added,本地卡号52068432独立；①丢弃费用无效发动，②仪式召唤即刻从对方手卡／场上／墓地各除外1张且全有或全无。
52068433,三叉龙之影灵衣,影灵衣,set:b4,none,现有万华镜标注与仪式展开场景；补齐完整系列,161,180,7fe76e979592318083fd06dfccb258b4eafa493d9d2e413456bc4930e13d47f8,"m-pre,m1,m2",11485,https://www.db.yugioh-card.com/yugiohdb/faq_search.action?cid=11485&ope=4&request_locale=ja,reviewed-added,本地卡号52068433独立；①丢弃费用无效发动，②仪式召唤即刻从对方手卡／场上／墓地各除外1张且全有或全无。
